Impossible,James Arthur,170,70,38,-5,11,30,209,14,9
Blurred Lines,Robin Thicke,120,60,85,-5,8,84,264,0,4
Heart Attack,Demi Lovato,174,79,50,-5,24,50,211,7,10
We Are Never Ever Getting Back Together,Taylor Swift,86,68,63,-6,12,75,193,1,9
Die Young,Kesha,128,70,71,-5,22,80,212,0,5
Clarity,Zedd,128,78,51,-3,7,18,271,4,7
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,126,81,57,-6,13,11,215,2,6
Under Control,Calvin Harris,126,92,54,-3,12,51,184,13,8
Everybody Talks,Neon Trees,155,92,47,-4,31,73,177,0,6
"Hold On, We're Going Home",Drake,100,41,77,-7,7,29,228,0,10
Best Song Ever,One Direction,118,88,65,-3,8,49,200,2,5
Kiss You,One Direction,90,93,63,-3,32,91,183,2,6
Sweet Nothing (feat. Florence Welch),Calvin Harris,128,93,57,-4,6,58,213,20,11
Lose Yourself to Dance,Daft Punk,100,66,83,-8,8,67,354,8,6
Work Bitch,Britney Spears,128,82,63,-7,7,85,248,16,16
Brave,Sara Bareilles,185,84,55,-4,4,76,221,1,5
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,146,93,63,-4,10,88,258,3,8
Feel This Moment (feat. Christina Aguilera),Pitbull,136,76,67,-4,34,54,230,4,16
Beneath Your Beautiful,Labrinth,84,52,56,-6,10,23,272,23,4
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,125,68,66,-7,37,25,252,25,4
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,95,53,78,-7,5,66,236,6,29
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,126,75,52,-6,14,16,215,26,4
The Way,Ariana Grande,82,88,65,-3,8,86,227,29,11
Suit & Tie,Justin Timberlake,102,60,80,-4,16,36,326,10,22
#thatPOWER,will.i.am,128,61,80,-6,7,40,280,0,6
I Love It (feat. Charli XCX),Icona Pop,126,91,71,-3,15,82,157,1,3
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,130,87,72,-3,66,68,209,4,4
Daylight,Maroon 5,120,67,66,-5,26,37,225,0,3
Love Somebody,Maroon 5,120,78,68,-6,12,40,230,13,4
A Little Party Never Killed Nobody (All We Got),Fergie,130,62,76,-6,9,52,241,1,18
Move,Little Mix,121,74,85,-5,55,77,224,0,9
Walks Like Rihanna,The Wanted,126,82,56,-3,10,43,202,1,6
Rock N Roll,Avril Lavigne,184,96,47,-3,34,67,207,1,13
Heartbreaker,Justin Bieber,105,52,56,-7,34,58,263,14,10
Mirrors - Radio Edit,Justin Timberlake,77,60,58,-6,43,65,277,14,5
Next To Me,Emeli Sande,95,80,67,-5,11,35,197,9,4
Made In The USA,Demi Lovato,87,86,58,-4,32,59,196,0,4
Clown,Emeli Sande,130,23,45,-8,11,23,221,92,4
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,93,81,55,-6,15,34,271,9,31
TKO,Justin Timberlake,138,68,61,-7,43,49,424,1,24
Come & Get It,Selena Gomez,80,79,55,-4,10,58,232,1,5
Live It Up,Jennifer Lopez,128,73,69,-5,33,65,244,1,17
We Own The Night,The Wanted,104,94,55,-4,23,56,206,1,13
Atlas - From 揟he Hunger Games: Catching Fire?Soundtrack,Coldplay,136,45,28,-8,11,11,236,63,3
What About Love,Austin Mahone,100,78,63,-7,4,28,203,0,4
Take Back the Night,Justin Timberlake,107,66,59,-5,64,33,353,4,16
Applause,Lady Gaga,140,78,67,-4,11,73,212,3,5
Anything Could Happen,Ellie Goulding,103,78,70,-4,14,38,286,43,3
Finally Found You,Enrique Iglesias,128,88,62,-5,35,66,221,1,10
Pom Poms,Jonas Brothers,148,98,68,-2,28,90,198,7,9
#Beautiful,Mariah Carey,107,76,68,-5,31,45,200,29,4
How Ya Doin'? (feat. Missy Elliott),Little Mix,201,95,36,-3,37,51,211,9,48
Crazy Kids (feat. will.i.am),Kesha,128,75,72,-4,13,50,229,4,4
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,128,57,69,-5,11,73,257,2,5
People Like Us,Kelly Clarkson,128,79,60,-5,36,61,259,4,4
Overdose,Ciara,107,70,77,-6,6,79,227,1,3
Right Now - Dyro Radio Edit,Rihanna,130,74,53,-6,24,45,186,0,4
Give It 2 U,Robin Thicke,127,83,67,-4,16,58,230,10,7
Foolish Games,Jewel,132,34,51,-11,12,7,250,23,3
Outta Nowhere (feat. Danny Mercer),Pitbull,95,84,71,-4,21,66,207,16,3
Freak,Kelly Rowland,104,78,65,-5,12,45,274,13,6
All of Me,John Legend,120,26,42,-7,13,33,270,92,3
Stay With Me,Sam Smith,84,42,42,-6,11,18,173,59,4
Summer,Calvin Harris,128,86,60,-4,14,74,223,2,3
"Happy - From ""Despicable Me 2""",Pharrell Williams,160,82,65,-5,9,96,233,22,18
Rude,MAGIC!,144,76,77,-5,31,93,225,4,4
Shake It Off,Taylor Swift,160,80,65,-5,33,94,219,6,17
Dark Horse,Katy Perry,132,59,65,-6,17,35,216,0,5
Hey Brother,Avicii,125,78,55,-5,8,46,255,3,4
Maps,Maroon 5,120,71,74,-6,6,88,190,2,3
Treasure,Bruno Mars,116,69,87,-5,32,94,179,4,4
Let Her Go,Passenger,75,54,51,-7,10,24,253,39,6
Problem,Ariana Grande,103,81,66,-5,16,63,194,2,15
Pompeii,Bastille,127,72,68,-6,27,57,214,8,4
